,sp_id,rp_id,seeker_post,response_post,reactions_level,rationales,explorations_level,interpretations_level,interpretations,reactions,explorations
23,7mvl0f,drxca97,"Just waiting to die. I'm not actually living, I'm just on auto pilot going through the motions in this shitty life, I feel like I'm just waiting to die. I wake up in the morning anxiously waiting for night to come so I can leave this shit reality, then, the cycle repeats.",Aren't we all? It's basically all there is to life.,0,,0,0,0,0,0
24,8813yy,dwgzyrt,"Self-doubt. Sometimes I wonder whether I'm just going through a teenage phase. Even though I've been diagnosed with depression, part of me just wonders whether I'm lying to myself and just insisting in wallowing in misery. Just needed to get this off my chest.","My gut reaction is that if you were just insisting in wallowing in misery, you wouldn't be wondering about this.",0,,0,0,1,1,1
25,aa6yyd,ecpkjxv,Good tip for those who live alone and don’t go out much. Leave your tv on all day on a news tv channel going on in the background. I find this really helps as like a window to the outside world and with the news stuff going on.,"I agree, some sort of pet that can show affection can help fight loneliness. Not only that but an animal can help give humans a purpose, something to provide for and keep alive.",1,"I agree,|",0,0,0,1,0
26,40smqw,cyx3y7b,Fuck Everything. If god existed then depression wouldn't.,Depression is hell. I feel ya.,1,Depression is hell. I feel ya.|,0,0,1,2,0
27,6jr5eh,djgf3g2,What will happen if I tell my psychologist about self harm?. First off I'm not even sure what I'm doing classifies as self harm. But I'm scared to let her know about it when I see her tomorrow. What will happen?,you are beautiful. pretty sure i've seen your username before,1,you are beautiful. pretty sure i've seen your username before|,0,0,0,0,0
28,9dwog6,e5kg5bg,I need to stop hiding from life. I'm sure you can tell that I'm not okay. I can't keep going on this way. I need to change how I'm living 'Cause isolation's unforgiving. I need to be out there with others Instead of hiding under covers.,"You can do it, try to say yes to more social plans and have fun, no pressure, truly",1,"You can do it, try to say yes to more social plans and have fun, no pressure, truly|",0,0,1,1,0
29,6w58z4,dm5ifng,"How often do you shift to depression/anhedonia?. Have to deal with that shit every evening at best, every week at worst. And they can't even give me meds because they are afraid of locking me in one state!","Wait, does this mean you're seeing someone already? I can see the concern, but if you're already suffering then not doing anything at all for you isn't really better. You can always look for a second opinion. I'm getting help, but before I was (and while I was trying to find the right combo of things), I'd have both depression and anhedonia at the same time pretty frequently. Like, 4-5 days out of a week. It sucked hard. Right now my anxiety is the bigger problem most of the time, but anhedonia still strikes and lasts like maybe a day to almost a week. Sometimes I make myself go do something outside of the house to distract myself, even if it's not actually enjoyable. This combo sucks, and I hope you find a way to lessen or even break the pattern.",1,"This combo sucks, and I hope you find a way to lessen or even break the pattern.|",2,2,2,2,1
30,41ag0y,cz11zuv,my loneliness is killing me. im tired of being alone. i feel this loneliness is triggering me,in there my friend. I'm here for you,1,in there my friend. I'm here for you|,0,0,1,1,0
31,7k4d75,drbgpw4,"Crying. Why is it that I can cry waterfalls while watching something on TV, but not when deeply depressed?","It's a different kind of sadness, being depressed. I don't really know how to explain. I feel you, I can cry while watching TV or reading something or what have you, but when I'm sitting in my room at 3am deep in my head I can't seem to cry.",1,"t's a different kind of sadness, being depressed. I don't really know how to explain. I feel you, I can cry while watching TV or reading something or what have you, but when I'm sitting in my room at 3am deep in my head I can't seem to cry.|",0,2,2,2,1
32,8fx4mo,dy7689k,I’m just alone. there for me. Nobody cares.,"just a stranger on the internet, but not alone. here to listen.",1,"just a stranger on the internet, but not alone. here to listen.|",0,0,1,1,0
33,443e82,czn4fsk,i just spent the last hour or so crying my ass off.. my upper lip's gone stiff and numb. i feel like throwing up. i don't feel like i can survive tomorrow.,"You know I felt like that last night. Like I was actually trying to find efficient ways to kill myself because I had to do shit from 7:15-6, but here I am. You can do it too. I know it sounds like I'm just some happy guy who doesn't really understand, because I alwaysk ind afeel like that. The words are so simple, you can do it too. All I know is that last night, if I had the oppurtunity I would be dead. Do you need somebody to talk to? GOD I fucking hate how generic all this shit is. I just need you to know that I mean this shit.",1,"You can do it too. I know it sounds like I'm just some happy guy who doesn't really understand, because I alwaysk ind afeel like that. The words are so simple,|Do you need somebody to talk to?|",0,2,2,1,0
34,60pllq,df8q8s9,"Feel like trash, skipped classes today because I just couldn't get myself out of bed. I'm tired and depression is kicking my ass. I really really wish I could get professional help","i skipped one class today because i don't really get much out of the class, but i forgot that there was 5% of the grade for in-class activities, so i'll probably not skip any more classes",0,,0,1,0,0,0
35,6ufvdy,dlseshk,"I don't want to do anything. I'd say I wanted to die, but I don't even want that, there's just a complete and total lack of desire for anything at all.. I just fester and exist. Marginally.","Sorry. I feel the same way. There's absolutely nothing in this life I want. It is kind of driving me crazy though because I don't know what to literally, actually do.",2,Sorry|,0,2,1,1,0
36,8v44ed,e1khigz,Feeling really hopeless right now.. Can anyone offer some positivity or good vibes right now?,Write here one good memory of something nice happened recently.,0,,0,0,0,0,1
37,95hltm,e3t3apj,In one of those moods I can't shake. Just feeling like I don't want to do this anymore. What techniques do you use to pull yourself out of bad funks?,"Strip club. Get some taitais in your life, even if you gotta pay for that shit. Don't be just jackin it in the bedroom man! If you go to a strip club you already winning cause you got up and went outside! Bitches got ears too, not just for fucking, if you talk to them they actually listen to shit you saying! Just remember to get the money up front.",0,,0,0,0,0,0
38,7x1hxh,du4q8hh,"I don't care anymore. I don't want to care anymore.. Why do I still have to try? I'm failing in life, I'm wasting other people's time and money. Why am I still around? I want to go away and disappear, yet I can't bring myself to di it.","I am sorry feeling this way, I have been where you are and I know how much it sucks. Please give up!",2,"I am sorry feeling this way, I have been where you are and I know how much it sucks. Please give up!|",0,2,1,1,0
39,70m1bh,dn476ec,Idk what to do. Idk what to do i feel lonely and no one takes me seriously im ugly and shit what shouldi do im really lost,I like to do healthy or productive hobbies when I feel like that. Sometimes it's all I look forward to in my day and it helps pull me through one day at a time. I think talking to others will help a lot too. If you wanna chat you can PM me.,1,If you wanna chat you can PM me.|,0,2,1,1,0
40,507z99,d71wsgc,Anyone else 20+ unemployed with no money?. Just want to know if I'm alone. ;_;,"Have some money, but no job. In a few months, I won't have anything.",0,,0,2,1,1,0
41,44lud8,czrgweq,"I beat depression. You can too.. Persevere, it is worth the fight.","Because depression isn't the same for everyone, so there is no 'one size fits all' cure for everyone. And some of the things you mentioned can be downright harmful for some people. For instance, tough love can potentially push a suicidal person over the edge. There's a reason those things are mentioned in the sidebar. Treatment should be left to the professionals to deal with on an individual basis. This sub is more of a support group, meant for encouraging each other to hang on, to keep fighting, and to point people in the right direction if and when they seek professional help. I'm sincerely glad you beat depression. What worked for you, though, may not work for everyone else (or even anyone else). It's a very personal and individual experience. And that's where you should have gone with this submission. You should've just shared your story. Talked about your depression, talked about your journey through it and how you beat it. Instead, you rolled it out like a sales pitch for snake oil. This is dangerous territory, because when you say things like I beat depression and you can too, here's how..., you are selling people hope. If it doesn't work and somebody spirals down and harms themselves or worse, even in one single instance, you are at least partially to blame for selling them that false hope. Again, that's why we leave treatment to the professionals. Please, I can't stress enough that you follow the rules and guidelines in the sidebar. They are there for a reason.",0,,0,0,0,0,0
42,7imsph,dr0erdd,"Anyone tried ketamine infusions for depression?. Considering trying this treatment for depression, anyone already tried it?",Haven't tried it but know a medical professional that says it really works for many patients. Not covered by insurance though.,0,,0,2,0,0,0
43,5e1hfm,da903n9,Your entire reason for existing explained in one word.. Work. . . That's about it.,Revenge. . . On a life thrown away.,0,,0,0,0,0,0
44,9zfkry,eaaqnfg,I feel so lost. I feel like I am losing myself.,I lost myself a long time ago.,0,,0,2,0,0,0
45,6c8ngy,dhssko9,just harmed myself for the first time in quite few years. it felt good to let it out on myself. i'm too much of a coward to kill myself so might as well let myself suffer. it hurts but it feels good,you're not a coward. I know the feeling and I still have urges time to time. but I look back on those years with regret. and you are loved. know that. treat yourself how you would others. have empathy for yourself. always here if you need to chat.,1,you are loved. know that. treat yourself how you would others. have empathy for yourself. always here if you need to chat.|,0,2,2,2,0
46,6hx42r,dj1t5ae,I am wasting my life trying to please people who treat me like shit. I decided to cut contact with all my friends because of this. Now only my parents remain.,Good idea. Don't let people treat you like shit and step all over you. You don't need people like that in your life. I'm still kinda passive but I've been trying to have more respect for myself.,1,Good idea. Don't let people treat you like shit and step all over you.|,0,2,1,1,0
47,5cjk8c,d9x9gse,"I'm going to kill myself. Not today, but someday.... I feel like I'm headed in that direction","Just because you feel like you're headed in that direction, doesn't mean you actually are...and if you are, you can always turn the car around. You're the only one who controls the ride and where it goes. I've had many days (and I still have those days) where I've lost hope in life. Feel like there is no point to go on because no matter how much I try to get things on track, I fail. That no one cares about me, and if I were gone the whole world would have one less body to deal with. But, then I realize that these things are not permanent or untrue, and If i am not happy, I can change it...but, you can not change suicide. Try to take a step back and think about what brings you joy in your life currently, and think of the things you've enjoyed while growing up, and surround yourself with them. Try something new that you've always wished you'd try. These are all steps to a better life, one that's happier...and is definitely possible to achieve. It takes some time and work, but in the end it is worth it. Don't give up, the best things in life are always the ones that make you work the hardest for. Feeling like this, is not permanent, it's only temporary. You have many people who care for you, who I am quite certain will notice if you're gone, and would be devastated... not to mention the hundreds of other people you're robbing from the chance of getting to meet someone as amazing as you, too! Stay strong, and remember that it will always be okay. Life is what you make it.",1,"Just because you feel like you're headed in that direction, doesn't mean you actually are.|Don't give up, the best things in life are always the ones that make you work the hardest for. Feeling like this, is not permanent, it's only temporary. You have many people who care for you, who I am quite certain will notice if you're gone, and would be devastated... not to mention the hundreds of other people you're robbing from the chance of getting to meet someone as amazing as you, too! Stay strong, and remember that it will always be okay. Life is what you make it.|",0,2,2,2,0
48,87h9bi,dwctslw,how can you feel like always wanting to cry but can never actually cry. seriously how? i can never not feel like this lately,"Every day. Depression dulls your physical emotions. On the inside I may be screaming and balling my eyes out, but I physically let it out when I try. The only times I cry are when I have an extremely deep thought that hits me hard and ball out of nowhere for literally 5 seconds before I pull myself together. Another 5 seconds later like nothing even happened...",0,,0,2,2,1,0
49,47nm79,d0elri3,"Maybe suicide is the answer. People say it gets better. Well, for the past four years its been getting worse. What's the point of living if there's nothing worth living for? I'm thinking of finally going through with this.","You know what kind of answer you'll get here. I know this is your state of mind right now, but realize that it is a state of mind. You want to take some kind of action to change your circumstances and right now suicide seems like the only option. That's because taking some kind of action to change your circumstances helps lift your brain out of its depression. Suddenly you don't feel completely hopeless. Maybe life can be better after all... Except you'd be having that thought as you're dying. That would be terrible. So you have to find some other way to turn things around.",1,"know this is your state of mind right now, but realize that it is a state of mind. You want to take some kind of action to change your circumstances and right now suicide seems like the only option.|Maybe life can be better after all... Except you'd be having that thought as you're dying. That would be terrible. So you have to find some other way to turn things around.|",0,0,1,1,0
50,9megel,e7e0csh,i wanna kill myself then kill myself again. holy fuck i hate this so much,I know that. I feel that life is just a blur for me I'm having the worst year of my entire life but I can't give up. You too must be passing a bad time there but don't let that makes you kill yourself you are worth living. You are a beautiful human being and you have the chance to go on. Hope it changes your mind. I'll be there for you if you need me.,1,ou are a beautiful human being and you have the chance to go on. Hope it changes your mind. I'll be there for you if you need me.|You too must be passing a bad time there but don't let that makes you kill yourself you are worth living.|,0,1,2,2,0
51,8m3scd,dzl19qw,"Bored therefore depressed,depressed therefore bored. does anyone else feels that way?",Huh. Good to think about.,0,,0,0,0,0,0
52,6ciu2g,dhuymou,"I didnt bleed at all..?. I poked a knife into my skin and think I broke through the entire skin layer but no blood came out. It was an attempt to find the artery. Since no blood came, does that mean I got deep enough but just managed to avoid and veins capillaries etc?","Trust me, don't do it. I have a scar on my left arm where I cut really deep and it gives me anxiety from people seeing it and depresses my mood looking at it. Doesn't help that I'm in fucking GCSEs either, but anyway I'm rambling. I know you wanna see blood; that's how I was too. But just don't, for me.",1,"Trust me, don't do it|know you wanna see blood; that's how I was too. But just don't, for me.|",0,2,2,2,0
53,7b3d9t,dpey0rz,I just want to have a single person in this world who would care about me. I just want to feel loved.. Is it too much to ask for?,"Hey, if you ever want to talk about anything, I'm here for you. Just send me a message. You're not alone.",1,"if you ever want to talk about anything, I'm here for you. Just send me a message.|You're not alone|",0,0,1,1,0
54,3vz0tb,cxs2grb,It hurts my heart so much to live with my family as an adult. They humiliate me. I'm humiliated. I just want dignity.,"Hi, I'd like you to know that I read your post and I'm another real person out in this big world. I have not been in the same situation you are in right now, but I can see how painful that would be. Shame is a terrible thing. If you'd like to talk more about it, I am here. I'm a veteran of both depression and anxiety.",1,"If you'd like to talk more about it, I am here.|I can see how painful that would be.|",0,2,2,2,1
55,6rou0q,dl6nnsh,"Help. I have been having terrible thoughts for years now, and I am finally getting the courage to want to see someone. Can someone recommend what type of doctor to go to?",There are many sources of therapy for various situations. It all depends on what these thoughts are and how often you get them.,0,,0,0,0,0,1
56,8oxban,e074avu,"My anxiety feeds my depression, and my depression only feeds my anxiety.. Sometimes I get anxious about getting anxious, I just want to die. It is either I'm depressed or I'm anxious. I can't deal with this suffering anymore. It just lasts forever",I feel the same. I'm sorry.,2,I'm sorry.|,0,2,1,2,0
57,7titw6,dtctupj,I’ve started mixing drugs and alcohol hoping it will kill me.. At least been helping me sleep. So far I wake up disappointed. Fuck this.,Don't do it. Tell me your story! I'd love to hear.,1,Tell me your story! I'd love to hear.|,0,0,0,1,1
58,8qdpfr,e0j79h1,"Depression isn’t wanting to not exist, its more not wanting to exist feeling like this. And sometimes you just cant stop feeling like this.","I think once out of this, look back thinking I could never be happy? And enjoy those times when they last.",0,,0,0,0,0,0
59,45y63g,d00ys70,How to become a someone?. This really bother me. I'm young girl but my chances in life are small because of depression. My family helps me but living with them are so hard and painful. Is there anyone who can't live on his own because of depression?,That depends a lot on your situation. Some people need to find a passion. Some need more social contacts. Did something happen to start your depression?,0,,2,0,0,0,1
60,7b3p29,dpf01t9,"Moving on. Our memory doesn't hurt me Seeing you doesn't hurt me But seeing you haapy with simeone else, makes me feel empty This emptiness hurts me","Wow, looking through your post history makes this hit even harder. :\",0,,0,0,0,0,0
61,73glt1,dnq6dea,Hate texting. Type a long well thought out paragraph about your issues only to get met with one word or short stupid empty sentence and see what I mean.... Pointless,"Yea why I don't text anymore. All people want to hear is fake, surface, superficial shit.",0,,0,2,0,0,0
62,91da89,e2x73jj,Do you guys ever stand in the edge on the cliff just to feel that you're in control of your life?. Meaning that YOU and only YOU decide if you want to live or you want to die.,yes or like just being somewhere high,0,,0,1,0,0,0
63,7shzxy,dt4vrh6,My only goal at the moment is to make it through the day without crying.. not doing very well at achieving this goal.,I'm sorry for your pain. Wanna talk?,2,I'm sorry for your pain.|,0,0,1,1,1
64,5cm7vz,d9xrghi,guilt mixed with depression best life u can ever get ;). i'm already derpessed for a long time and a few years ago a new element come in (guilt) yay ! my life is perfect waw,"I know you're getting down voted, but I don't want you to focus on that. The guilt is worse than the depression. Not only do you feel terrible, but then you're made to feel guilty for feeling so. (Doesn't any one understand that if we could help it, we would??). I get it. Chin up. :)",1,"I know you're getting down voted, but I don't want you to focus on that. The guilt is worse than the depression. Not only do you feel terrible, but then you're made to feel guilty for feeling so. (Doesn't any one understand that if we could help it, we would??). I get it. Chin up. :)|",0,0,2,2,0
65,atiui0,eh1bxrc,"Blasé Depression. This is something I've been thinking of, I dont actively try to kill myself but if it happened I wouldnt care. Im bored and sad with life and just want to die. I'm just about it all.","Similar for me. I fell like depression makes you care less about yourself. I remember once walking the streets and jaywalking at every corner. I was like, so what if I get hit by a car, worst case scenario I die, it's not as if that matters. I wasn't actively trying to get myself killed, just ignored my surroundings and my own safety. Fortunately I snapped out of it at some point, or I might not be here anymore.",1,Similar for me.|,0,2,2,1,0
66,9pzgud,e85game,i've never carved a pumpkin. because i'm a friendless loser.,"Thought id check out the depression sub, well i have to go now",0,,0,0,0,0,0
67,73yymy,dnue2hm,How long is this going to go for?. I wish I fucking knew. Fuck you and everyone else.,Expecting people to stop being depressed like turning off a light is extremely stupid.,0,,0,0,0,0,0
68,760kps,doambus,Do any of you guys get a kick off of telling others you're depressed/suicidal?. And when I say get a kick I mean that by telling someone you want to die it partially satiates your hunger for attention. Your hunger for love.,"Unless surrounded by loving people, you The last thing you want is for your happiness to depend on others.",0,,0,0,0,0,0
69,7wgecs,du0d87x,"Bye. I tried, but I do it anymore.","Madara, there's people on here who will listen to what you have to say and how you feel and who can try to relate and will care. Let us know if you want to talk.",1,"Madara, there's people on here who will listen to what you have to say and how you feel and who can try to relate and will care. Let us know if you want to talk.|",0,0,1,1,1
70,afd0li,edxkw5i,Is anyone happy?. I just want someone to say that they are happy. That life is worth living. I'm having trouble seeing that as a real thing right now.,"*raises hand* Nope, I'm not happy. Sorry if I was supposed to say something different, but I try to tell the truth. Some of thes I visit make me feel less lonely, because I identify with the people who contribute content there. I often get depressed, and I'm hoping that lurking here at r/depression will help me find new ways to deal with it, by learning from the other people here. That's why I subscribed here today. A lot of people find part of their meaning for life in other people. Maybe that's why communities like this help, I don't know.",0,,0,2,0,0,0
71,4mml92,d3xeqkv,"Do I have the right to kill myself?. You don't have the right to kill other people, But do I have the right to take my own life? &gt; I want to hear your opinions about it.","You should, but in this society you don't.",0,,0,0,0,0,0
72,6gbj9u,dip0kzu,One Good Reason.. give me one good reason to not commit suicide today.,"I always think that to myself when I'm feeling suicidal. But there's always something that keeps me going and I just haven't figured it out yet. Maybe because in the end of all of this, there is a light at the end of the tunnel. Last night I had an incredibly suicidal episode; I've hurt myself in the past as well. And while I don't know how you feel personally, I can relate. When I feel the way I do, it's really hard to try and see the world around me. Your mom just doesn't understand what you're going through and you need someone that can support you. Hell, even I'll do it and I don't even know you. Sorry if I am ranting, but I do just think that you need to find the right people that can help lift you up. My mother hasn't supported me in any of my depression and anxiety issues at all and it's the loneliest feeling in the world. That's why I turned to. So if you need support, you can talk to me. I don't judge. Ever.",1,"So if you need support, you can talk to me. I don't judge. Ever.|",0,2,2,2,1
73,4xe3vh,d6encaf,Why Im going to kill myself.. Im going to kill myselm,We are here if you need to talk to someone,1,We are here if you need to talk to someone|,0,0,0,0,0
74,5xxauh,deln2g3,"What keeps you going?. What drives you to push on through life? What is *your* purpose? I can't answer this myself, and I'm wondering what other peoples perspectives are on it.","What pushes me to go forward and I guess my purpose is two things: helping other people, and things that make me smile.",0,,0,0,1,1,0
75,8z8pdk,e2gxe5s,"19th Birthday. How come every year when my birthday I cry so much at night, I just break down, I hate feeling like this, not being happy, but yeah, happy birthday to me",I remember it like it was yesterday. What a waste it was. I can't look at the photos knowing what was hanging over me. I'm so young and really had nothing to worry about. I wish I 'd got on with life,0,,0,2,1,0,0
76,8idu1g,dyr6p2t,"wow, being yelled at that you're too negative sure makes me feel better!. it definitely doesn't make me feel worse or anything. yelling at a depressed person is definitely the correct choice, instead of being supportive.","Oh, my family does that all the time. Like, what do you expect. Also, when they say they're feeling worse than I am for having to watch me depressed. Like, hello, I'm depressed here, not you. And when they try to blane it all on my anxiety and my negativity, like I'm to blame people generally don't like me.",0,,0,2,1,1,0
77,88qudp,dwmmcc2,"Convince me to call a helpline. Feeling really down currently.. Sorry if this is the wrong place. The issues will pass but while they're ongoing, I'm really struggling.",If you're ever feeling really down and feel you have nobody to talk to always call a help line. Plus what even if calling does nothing it's first occupied you for some time so that you don't do anything else and secondly it's better then not even bothering to call at all. Please call a help line and trust me it's what you need to do right now.,1,If you're ever feeling really down and feel you have nobody to talk to always call a help line.|Please call a help line and trust me it's what you need to do right now.|,0,0,0,1,0
78,9ybl4m,ea0gskf,"High school has robbed me of my freedom. My schedule is filled with being forced to study things I already know its painful. Last week I only had 2 hours where the sun was up and I did what I wanted, and Im not a bloody owl, Im being a prisoner in this endless cycle of bullshit.",High school is incredibly strict. I suggest dropping out of any AP courses you may be in and taking early -college courses instead. They're much easier and by FAR more worthy of your time.,0,,0,0,0,0,0
