,sp_id,rp_id,seeker_post,response_post,reactions_level,explorations_level,interpretations_level
818,6pnt5f,dkqtxqo,"How do you cope with deeply traumatic memories?. There are a few serious instances from my (otherwise ok) childhood that I would really, really love to forget. Of course, this isn't possible, and repression/smoking my life away seems to only make things worse. What are some better alternatives? How do you find peace? ...Can you find peace?","I just try to remind myself it's a thing of the past, and that's all it will be. the pain I've felt and been through is no longer painful. sure it hurts to think about, but not as much as it hurt in the process. people that live in the past live with guilt, people that live in the future live with anxiety, people that live in the present live with peace.",0,0,0
699,8xm604,e244boa,"Just want one fucking night of decent sleep. My brain keeps torturing itself while asleep... this is like the 4th night in a row woken up in the middle of the night sweating and on the verge of a panic attack. The one tonight was about insecurity and not having the ability to stand up for what I was passionate about. Not that I want to but that I strong enough too. Idk why this always happens. My concious mind I can usually handle okay, but my sub-concious mind absolutely wrecks me. Anyone else deal with this or have any tips?","Don't know if it helps in the long run but apps with binaural beats might help. They worked the first time for me, but my body got used to it later on.",0,0,0
122,5f4qoc,daigm3a,Trust is a curious little thing.... We take it for granted... until we eventually realise: it's a concept that doesn't actually exist.,"You're wrong. It's hard to trust and you may get burned, but you have to be willing to take that risk. There are people who care about you.",0,0,0
736,7uekc6,dtmkg9x,dont want to be alive anymore. hate myself and i hate my life,Have you looked into therapy?,0,1,0
25,8v44ed,e1khigz,Feeling really hopeless right now.. Can anyone offer some positivity or good vibes right now?,Write here one good memory of something nice happened recently.,0,0,0
326,82wfu3,dvdnyiu,What the hell am I doing. I'm failing classes. I'm sabotaging relationships with people I care about. I have little to no motivation for social interaction. Literally what the fuck am I doing. I don't think I've reached a lower point than what I'm currently at.,"we on the same boat. havent been going to school, probably already failed some of my classes. theyre just a group of fucking morons anyway. broke up with gf. have no friends. the ones I had were fake. shit.",1,0,2
621,9hmab0,e6d5kgy,Please help me. keep starting me off badly. Please just help.,I don't really understand what you mean. What exactly do you need help with?,0,1,0
117,5re5nv,dd6kgtd,"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...","As a 24 year old that needs to go back to college and pay his way there. It is absolutely imperative you succeed in school to get tuitions for college. I know what you're feeling, well actually mine was worse since I had little friends but if I could back and give myself advice I'd tell myself to man up and do well, work out and socialize because the rest of your life is so dependant on how well you do at your age right now. Please believe in yourself and press forward. Although you have all the time in the world to make changes. Waiting it out will only lead to insanity and depression. It's a problem you don't want to deal with when your older. It's best done in the present.",0,0,1
180,amqzij,efqym8h,"Nobody really cares that you have depression. It’s not even considered an illness in most people’s minds. You get more support for having a cold than depression, even thought 1,000,000 people die from it each year,. Title says it all really. Most people care that you have depression. In most minds, something you snap out or just up, not that They understand the existential loneliness and emptiness that comes with it, in each waking moment. I just feel so disconnected from everything.","It's usually innocent ignorance. Most people don't understand doesn't mean anything for what's true, except it's really difficult to have an illness that goes unrecognized. &amp;#x200B;",0,0,0
215,6g5jbx,dinx5vb,My friends started to hang out without me and have straight up ditched me. I don't know what to do about it,are you quiet or shy? that'll be why,0,1,0
698,9oqaib,e7vv4at,I have a job interview. I'm about to have an interview. I'm horribly nervous and pessimistic but it is an accomplishment after months of being unable to go outside and feeling like shit. I really hope things go okay.,getting an interview is hardest part and you achieved that! good luck!,1,0,0
524,5j3kx8,dbd3dis,"Do you ever have those moments where you wish to be a kid again? Someone purely id-driven with no worries or no burden to carry?. Although I will admit that I had a pretty troubled childhood, more or less ... there comes those days where I really wish that I was a kid again .  During those times, I was purely id-driven. No fear of the consequences. No worries about anything. Nothing to fear about the weight of my actions. there comes those days where I do try to re-inact those feelings, but somehow, I do feel guilty for doing it. So guilty, as if I did something extremely wrong. And because of that ... I feel like I am stuck in a loop of some kind. Wanting to be as id-driven as a kid or wanting to be a boring adult with no fun, no ambition, no nothing",I wish I was a kid again so I wouldn't need reasons to smile,0,0,0
84,5ith76,dbavdkj,"Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly?","Sounds like apathy to me. I'm guessing you feel kind of lost and without a direction and you just are following the path that you feel is required of you. While apathy is one symptom of depression, it doesn't necessarily mean that you have depression. By no means am I downplaying depression or trying to convince you that nothing is wrong because there isn't any on true definition of depression. I felt like you for a while, just a few small pleasures but nothing really else. For me, it went away after a few months. If you want to talk about it more or anything, feel free to ask anything. My only advice is don't give up now, because if it goes away, you'll regret a lot of things that you stopped caring about.",1,0,2
572,5wzvgy,deefb9u,"Anyone else just feel completely demorelized and defeated. After years of this depression thing, at some point all you can do is look in hindsight and think wow, this sure has made my life miserable",Every day my friend...every day,0,0,1
348,4g64lj,d2ev0l0,"Fluoxetine giving me nightmares?. I was just wondering if anyone else has had any experience with this. They're often very vivid and surreal, it's making not want to go to sleep at night. Is there anything I can do to stop this without stopping my doses?",I did. The nightmares were so bad I had to stop taking it because I couldn't sleep. A few days after stopping I was able to sleep much better. Unfortunately I'm not sure what you can do to avoid stopping the meds.,0,0,1
474,6740ou,dgnidk6,The very last things that gave me pleasure are now indifferent to me. i want to die. internet and porn are not an option for me anymore. i've hit a complete apathy. why the fuck is this happening to me,"I have this problem recurrently so I keep a wordpad document on my desktop of things that give me even the slightest bit of pleasure. If you want, I will PM that list to you.",0,0,0
510,6s7vk3,dlczato,Life sucks so much. I wish there's simple way to end it.,"I wish the same. A simple, pain-free way out.",0,0,1
488,8jhdd8,dz01y7k,Doing literally anything feels like an ordeal.. All I do is sit on the computer or lay in bed because that's all that doesn't feel painfully hard to do. I can't do anything or move on with my life.,"I'm right with you, for years. I bought a VR headset because I needed to use vacation from work. I only put it on for 10 min in 7 days off. I just slept and watched the odd video. I wish I had the energy to feel what I used to from games. It was my only real escape.",0,0,1
263,8pelt1,e0aoa84,Can anyone help me im in pain. Im in chronic pain and ready to kill myself,"Hey there, feel free to pm me if you need to chat. No judgments from me, just ready to listen, so feel free to say anything you want or need. Please stay strong.",0,0,0
862,7jgq9l,dr698gw,Can you ever be successful?. I'm sure my depression will never go away. When I was 16 I always had high dreams and wanted to be successful. Currently in my engineering degree and I have failed physics twice. Is depression and success not compatible?,The thoughts that you're associating with depression will not go away as a result of what you associate with success. If depression is getting in the way of your success than the most succesful thing you can do is to find peace with your depression. The rest will fall into place :),0,0,0
991,4krh10,d3hdy1l,"What is the excuse you usually use to hide it?. Every now and then when someone notices something, I just say that I'm feeling tired and didn't get some sleep, or that I had something else to do. Now too many people are noticing stuff, so I'm wondering what you guys use as cover up?","People never notice, I've gotten really good at hiding it and compensating by being an asshole. Truth is the vast majority of people either don't care or don't even pick up on it in the first place. Well off to bed gotta put on the mask and go to work in the morning.",0,0,0
797,73k5al,dnqx8ha,Life is cruel. And full of pain and full of heartache,"and it only ever get's worse doesn't it ? I hope you have a nice Sunday there bud ! (I realize this may sound sarcastic, I mean it, have a nice sunday stranger :) )",0,0,0
878,aexv06,eduffug,Feels like depression is contagious. Feels like I get home and everybody's chipper mood begins to plummet. It's like I am sapping their life away. Makes you just feel like running the fuck away to spare them feeling as bad as you. It's the worst. What a cruel fucking joke depression is.,"Yeah I feel that way too. I tell people I feel crap, and then they feel sad because I'm down.",0,0,1
289,7l5o4v,drk2ylm,Does anyone have an experience with Citalopram?. I have been put on it due to my depression getting worse. I was wondering if anyone has been put on it and what are your experiences with it? Do you find it's helped you?,I did several months on citalopram but eventually got moved onto escitalopram. I'm now taking Wellbutrin with the latter. Much improved.,0,0,0
480,7nqz38,ds40tcv,Does anyone else feel like they're no ones first choice?. Popped up in my head and don't go away...,"Life is a series of choices. Many of the people you involve yourself with are not your first choice either but life. If talking about romantically speaking then sure why would anybody be anybody first choice? The culmination of our personalities, looks, intelligence, sensitivity, etcetera, all create true love and attraction. I know come to Love my wife as much as I do but with time I began to learn more about her every day and now I trade the world for her. Being first always the best.",0,0,0
701,6pos8l,dkrzdpi,I showered today for the first time this week. I still feel like shit,"I think people are meant to regularly bathe. Like we have probably been bathing while still hairy and grunting. I wasn't raised the best; one thing is that I was never taught to bathe regularly. It was normal to bathe once every 2-4 weeks growing up. Basically, I never had it ingrained into me, which led to being super hygienic to the point of irritation and skin problems during puberty, and complete abandonment of hygiene during my intense depressive periods. So during these periods I would go as long as I could possibly can without showering until it was literally affecting everything I did, usually 4-6 weeks. My dirtiness would get into my eyes, and they would burn like hell. I got more skin problems from the build up of dead skin: in grown hairs, dry scaly skin, acne, etc. My hair had issues too: unhealthy and wiry possibly from an unhealthy scalp and follicles and dandruff. My dick had some infection and itched like hell. I also looked like shit too and was never prepared for events that forced me to go outside which made everything worse (I would hide and wait out people who potentially could see or interact with me, for example). I also was dirty and made my surroundings just as dirty, and I smelled bad, but luckily I don't have volatile BO. *Anyways*, just saying that there are some serious consequences to poor hygiene that I wish someone told me about. Thanks mom.",0,0,0
323,arqwlv,egp8ld9,If I know I will be a virgin for the rest of my life and a cute girl will never love me what should I do?. I hope I get to leave this world very soon,"There's nothing wrong with being a virgin. I'm one, too, and I don't feel bad about myself for it. I'm proud of it, actually. Also, I don't understand sexuality probably because of my autism. Remember, it's not a competition. Once you lose it, you can't get it back. There are a lot of other types of love out there than just physical love. I don't understand why people around my age are upset about being a virgin to begin with. Don't feel so negative about yourself. There are people in this world who love you already such as your family. Take care of yourself.",1,0,1
964,8pab6v,e0bayw5,Do you ever just laugh at how hopeless your situation is?. Sometimes it feels like the only thing left.,Sometimes I do laugh but upon realizing on what situation I am laughing I am again sad.,0,0,0
826,7k3p4l,drbiene,"I almost threw up with anxiety from walking down the high street. I used to be able to rave, go out with friends, work, study. Now I can't walk down the road without having panic attacks. Great",sorry man. If people judge you for it then FUCK THEM,1,0,0
460,5dq5g1,da6k5j6,"If I wanted to kill myself, no one would be here to stop me.. I'm constantly depressed and everyone is always busy.","I feel the same. I do my best to push through every day and hope tomorrow will be better and it never is. Please don't do it. If I'm still here, you better stay too.",0,0,1
378,74cjcv,dnxp5th,"Almost Asked my Crush Out. Learned she has a boyfriend. Great! Glad I didn't pursue, but fuck. Guess I'll move on :'(",A very similar thing happened to me but only the first half. We talked from 6 till 10:30 till the closed. I thought there was a connection but I never ever ever heard from her ever again.,0,0,0
618,4ruq3i,d54ik50,My disabilities destroyed my life.. There's nothing I can do about it.,:( Are you on disability at all?,0,1,0
624,740few,dnv73e5,"Do you ever think depression is actually just being more in tune with how shit life really is?. Like you can dress it up how you want, but it is it?",I guess people just are born or moulded into different mindsets and a lot of people unfortunately got a shitty one where they struggle to be happy,0,0,0
910,5zu28i,df11yt8,whats the longest youve been out of school/college/work because of your depression?. I havent been to school in a while been out for 4 weeks.,I've been on leave for 10 weeks from work.,0,0,0
743,70tzqg,dn5wm6b,I want to shoot myself. I don't want to die but I want to go to the hospital for weeks/months. And just lose contact with the world. Can anyone relate?,I had a choice of going to jail or being held for 3 days. I went to jail lol.,0,0,0
156,a0ivgz,eahxr1e,Hey guys. until the exam is half a year left . but I understand absolutely nothing. I feel like I can not fix it . What to do? Maybe to kill myself? But how? Also I have so many many problems.... ah. Depression.. help?,What help do you want,0,1,0
890,8varq3,e1lwjbx,I should just kill myself.. I wish I had the courage to end it. too scared that I be able to even do that right. so tired of life. Everyday I wake up and just the same thing over and over again. Day after day. I hate it. I should just kill myself.,I wish i had the courage to end the suffering too.,0,0,0
954,4gllf7,d2inmgv,Does God think my life is one big cruel joke. Why did he feel the need to make me gay and depressed. Why am I so sad all the time. It's so frustrating to everyone else so happy and you're just constantly sad all the time. When can I have some of that happiness too?,Life is what YOU make it!... Happiness comes from inside,0,0,0
74,67q3pg,dgtvsnc,"Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish.","I think it's more like...suicide IS selfish, but so is asking someone to not commit suicide. So the argument is just kind of invalid because it's merely a question of who gets to be selfish.",0,0,0
895,71pve8,dncjjc1,I don't think I'm fit for school. It means a lot to me but I just can't motivate myself or concentrate,I was one year in collage but I realize that I didn't like how we studied there. I dicided I would try to studied something related with airplanes because I always love it. Now I have ended my studies and I'm going to do an internship in an airline. The most important thing is doing what you love.,0,0,0
